Date,Adj Close,Day
2018-10-09,238.887573,"1,842"
2018-10-10,231.50119,"1,843"
2018-10-11,226.266479,"1,844"
2018-10-12,229.005905,"1,845"
2018-10-15,228.138,"1,848"
2018-10-16,233.182785,"1,849"
2018-10-17,232.323822,"1,850"
2018-10-18,229.349472,"1,851"
2018-10-19,230.068604,"1,852"
2018-10-22,228.910614,"1,855"
2018-10-23,227.671341,"1,856"
2018-10-24,222.216339,"1,857"
2018-10-25,225.952484,"1,858"
2018-10-26,223.021408,"1,859"
2018-10-29,221.157852,"1,862"
2018-10-30,224.984497,"1,863"
2018-10-31,227.237091,"1,864"
2018-11-01,229.534897,"1,865"
2018-11-02,228.385971,"1,866"
2018-11-05,230.213348,"1,869"
2018-11-06,231.796494,"1,870"
2018-11-07,236.817261,"1,871"
2018-11-08,237.106735,"1,872"
2018-11-09,235.288422,"1,873"
2018-11-12,229.978149,"1,876"
2018-11-13,228.928741,"1,877"
2018-11-14,226.983826,"1,878"
2018-11-15,229.073563,"1,879"
2018-11-16,230.371063,"1,880"
2018-11-19,226.571655,"1,883"
2018-11-20,221.711212,"1,884"
2018-11-21,221.847244,"1,885"
2018-11-23,220.178757,"1,887"
2018-11-26,223.425095,"1,890"
2018-11-27,224.431656,"1,891"
2018-11-28,230.180756,"1,892"
2018-11-29,229.95401,"1,893"
2018-11-30,231.695068,"1,894"
2018-12-03,234.614868,"1,897"
2018-12-04,227.360535,"1,898"
2018-12-06,226.444702,"1,900"
2018-12-07,221.53894,"1,901"
2018-12-10,221.901672,"1,904"
2018-12-11,221.466446,"1,905"
2018-12-12,222.96257,"1,906"
2018-12-13,223.316345,"1,907"
2018-12-14,218.918381,"1,908"
2018-12-17,214.393448,"1,911"
2018-12-18,215.236786,"1,912"
2018-12-19,211.663986,"1,913"
2018-12-20,207.556183,"1,914"
2018-12-21,203.751907,"1,915"
2018-12-24,198.305511,"1,918"
2018-12-26,207.95256,"1,920"
2018-12-27,210.271194,"1,921"
2018-12-28,209.561996,"1,922"
2018-12-31,212.035095,"1,925"
2019-01-02,212.180618,"1,927"
2019-01-03,206.143265,"1,928"
2019-01-04,213.017075,"1,929"
2019-01-07,213.999039,"1,932"
2019-01-08,216.326706,"1,933"
2019-01-09,217.235947,"1,934"
2019-01-10,218.217941,"1,935"
2019-01-11,218.108841,"1,936"
2019-01-14,217.25412,"1,939"
2019-01-15,218.799896,"1,940"
2019-01-16,219.909149,"1,941"
2019-01-17,221.67308,"1,942"
2019-01-18,224.788544,"1,943"
2019-01-22,222.013336,"1,947"
2019-01-23,223.578369,"1,948"
2019-01-24,223.350906,"1,949"
2019-01-25,225.097885,"1,950"
2019-01-28,223.014267,"1,953"
2019-01-29,223.569275,"1,954"
2019-01-30,227.63652,"1,955"
2019-01-31,227.581894,"1,956"
2019-02-01,227.909424,"1,957"
2019-02-04,229.583633,"1,960"
2019-02-05,231.075882,"1,961"
2019-02-06,230.994003,"1,962"
2019-02-07,229.201553,"1,963"
2019-02-08,228.673767,"1,964"
2019-02-11,228.328033,"1,967"
2019-02-12,231.594543,"1,968"
2019-02-13,232.750122,"1,969"
2019-02-14,232.167755,"1,970"
2019-02-15,235.988815,"1,971"
2019-02-19,236.134796,"1,975"
2019-02-20,236.764313,"1,976"
2019-02-21,235.879318,"1,977"
2019-02-22,237.375656,"1,978"
2019-02-25,238.032593,"1,981"
2019-02-26,237.713242,"1,982"
2019-02-27,237.101929,"1,983"
2019-02-28,236.563644,"1,984"
2019-03-01,237.60376,"1,985"
2019-03-04,235.65123,"1,988"
2019-03-05,235.569183,"1,989"
2019-03-06,234.364807,"1,990"
2019-03-07,232.485291,"1,991"
2019-03-08,232.393997,"1,992"
2019-03-11,234.26445,"1,995"
2019-03-12,233.443314,"1,996"
2019-03-13,234.80275,"1,997"
2019-03-14,234.976074,"1,998"
2019-03-15,236.205887,"1,999"
2019-03-18,236.800125,"2,002"
2019-03-19,236.699585,"2,003"
2019-03-20,235.245804,"2,004"
2019-03-21,237.3396,"2,005"
2019-03-22,233.115463,"2,006"
2019-03-25,233.216019,"2,009"
2019-03-26,234.486923,"2,010"
2019-03-27,234.166946,"2,011"
2019-03-28,235.053757,"2,012"
2019-03-29,236.928207,"2,013"
2019-04-01,239.908798,"2,016"
2019-04-02,239.268799,"2,017"
2019-04-03,239.552216,"2,018"
2019-04-04,241.179749,"2,019"
2019-04-05,241.527206,"2,020"
2019-04-08,240.667709,"2,023"
2019-04-09,239.104248,"2,024"
2019-04-10,239.186523,"2,025"
2019-04-11,239.003708,"2,026"
2019-04-12,241.444931,"2,027"
2019-04-15,241.207199,"2,030"
2019-04-16,241.865463,"2,031"
2019-04-17,241.865463,"2,032"
2019-04-18,242.952408,"2,033"
2019-04-22,242.504028,"2,037"
2019-04-23,243.794022,"2,038"
2019-04-24,243.281754,"2,039"
2019-04-25,242.01001,"2,040"
2019-04-26,242.751038,"2,041"
2019-04-29,242.842651,"2,044"
2019-04-30,243.162766,"2,045"
2019-05-01,241.662399,"2,046"
2019-05-02,240.500534,"2,047"
2019-05-03,242.412659,"2,048"
2019-05-06,241.772217,"2,051"
2019-05-07,237.426605,"2,052"
2019-05-08,237.554657,"2,053"
2019-05-09,236.438507,"2,054"
2019-05-10,237.792496,"2,055"
2019-05-13,231.891617,"2,058"
2019-05-14,234.032425,"2,059"
2019-05-15,235.047928,"2,060"
2019-05-16,237.097275,"2,061"
2019-05-17,236.110367,"2,062"
2019-05-20,235.40416,"2,065"
2019-05-21,237.330109,"2,066"
2019-05-22,236.257126,"2,067"
2019-05-23,233.65242,"2,068"
2019-05-24,234.899689,"2,069"
2019-05-28,232.469315,"2,073"
2019-05-29,230.451538,"2,074"
2019-05-30,231.001816,"2,075"
2019-05-31,227.654251,"2,076"
2019-06-03,227.911057,"2,079"
2019-06-04,232.634354,"2,080"
2019-06-05,234.542053,"2,081"
2019-06-06,236.367172,"2,082"
2019-06-07,238.687576,"2,083"
2019-06-10,239.366241,"2,086"
2019-06-11,239.265366,"2,087"
2019-06-12,238.870972,"2,088"
2019-06-13,239.889008,"2,089"
2019-06-14,239.84314,"2,090"
2019-06-17,239.999054,"2,093"
2019-06-18,243.346649,"2,094"
2019-06-19,243.557648,"2,095"
2019-06-20,245.868881,"2,096"
2019-06-21,245.553574,"2,097"
2019-06-24,245.617828,"2,100"
2019-06-25,243.861969,"2,101"
2019-06-26,243.825134,"2,102"
2019-06-27,243.760849,"2,103"
2019-06-28,244.404343,"2,104"
2019-07-01,245.434021,"2,107"
2019-07-02,246.068329,"2,108"
2019-07-03,247.815079,"2,109"
2019-07-05,247.548386,"2,111"
2019-07-08,246.436066,"2,114"
2019-07-09,246.252136,"2,115"
2019-07-10,247.015182,"2,116"
2019-07-11,249.065247,"2,117"
2019-07-12,251.336166,"2,118"
2019-07-15,251.529205,"2,121"
2019-07-16,251.363693,"2,122"
2019-07-17,250.315643,"2,123"
2019-07-18,250.306458,"2,124"
2019-07-19,249.757111,"2,125"
2019-07-22,249.941162,"2,128"
